model,model_index,start_id,start_kind,start_seed,initial_parameters_log
LADDER_3R3C,2,13,log_uniform_within_published_bounds,3474414592.0,"[4.704454342676074,-6.6526464219447945,-7.381240578959225,11.987936492669947,10.624502077123594,24.767548670610097,-8.399762154309965]"
LADDER_3R3C,2,14,log_uniform_within_published_bounds,889215357.0,"[-2.027402523620599,-0.6645592851500535,-8.221764895884052,23.780101833639485,24.18040106501275,14.00672562599793,-10.72429895217502]"
LADDER_3R3C,2,15,log_uniform_within_published_bounds,1096290748.0,"[-0.5554591461592331,-1.0337088878795786,-3.182156573317526,11.925214128125582,17.971289613289578,10.372426905547954,-0.8244350973540016]"
LADDER_3R3C,2,16,log_uniform_within_published_bounds,4181584285.0,"[4.877684149191284,-4.739774869027289,-0.3789983344422456,13.383172798788486,16.29281484793416,8.84947987032567,-14.5476818531058]"
LADDER_3R3C,2,17,log_uniform_within_published_bounds,796292444.0,"[-3.5015026379259124,1.187132802386019,-5.2006523591407925,8.261299979414169,22.631806214079795,22.565757942878616,-7.285232529420339]"
LADDER_3R3C,2,18,log_uniform_within_published_bounds,1285197772.0,"[-8.101754108302023,-2.6127798710203027,-0.8566019576743003,12.90871826194909,23.204484380712422,14.477284167220914,-12.912758471975994]"
LADDER_3R3C,2,19,log_uniform_within_published_bounds,4124107705.0,"[-5.450056379085087,-3.6848241232662344,-4.412692085729956,18.028057933330427,17.18085415717438,10.510755488705012,-1.7400559822865134]"
LADDER_3R3C,2,20,log_uniform_within_published_bounds,524322781.0,"[-6.367669309129427,2.0792147424687286,-4.486751920388208,9.37411526303707,13.60012041271287,8.736590210298427,-5.846519075980353]"
LADDER_3R3C,2,21,log_uniform_within_published_bounds,3985953382.0,"[-9.260222757843541,1.4728575375094888,-3.2980181602780183,8.214714687602562,15.999444086510593,10.930234370497022,-6.011228683148852]"
LADDER_3R3C,2,22,log_uniform_within_published_bounds,409292699.0,"[1.2374357636684437,-2.1786088562777444,0.023628583370770784,8.293190163447603,17.607257003864895,17.86600544926876,-2.6875715716039856]"
LADDER_3R3C,2,23,log_uniform_within_published_bounds,2084233235.0,"[-2.1964001106420685,1.4455117135365096,-0.42498201137947156,21.745029077997195,10.02556386421401,10.587404789962406,-13.8870661986269]"
LADDER_3R3C,2,24,log_uniform_within_published_bounds,3842430369.0,"[3.6427512978645904,-7.403353835047581,-7.578719191121396,17.008683134677334,15.994986109344776,10.780556532568303,1.0268944211879543]"
LADDER_3R3C,2,25,log_uniform_within_published_bounds,3536267502.0,"[-5.046764966876178,1.6986725804686156,-4.06206824019497,12.95461103345767,11.495683267339684,14.180708219388444,-17.9266022113409]"
LADDER_3R3C,2,26,log_uniform_within_published_bounds,293421925.0,"[-4.701319913258562,2.120510545905214,2.1126889059311864,16.94328911386313,8.220876266801824,23.93274197385226,-12.971925971327316]"
LADDER_3R3C,2,27,log_uniform_within_published_bounds,3619599846.0,"[-8.377205333472864,1.0502406823593535,3.1519533204923462,21.096948135852635,17.9110992963467,12.420542003548329,-9.255731130476747]"
LADDER_3R3C,2,28,log_uniform_within_published_bounds,2252043434.0,"[2.371190062713456,3.800095392872766,0.629772720125267,8.510967637480803,20.60201262526561,13.972074937506676,-8.143121443959398]"
LADDER_3R3C,2,29,log_uniform_within_published_bounds,2305107273.0,"[-6.473060705374671,0.26378409546862613,-3.2525440940834995,23.929370956293933,22.009872075832263,13.575753723128242,1.7062087305178508]"
LADDER_3R3C,2,30,log_uniform_within_published_bounds,581822139.0,"[-2.5064368908560954,-8.271415696869735,-6.056086189714783,14.938171595537433,14.606347258026492,11.155590759165662,0.7120756151895833]"
LADDER_3R3C,2,31,log_uniform_within_published_bounds,1295312916.0,"[4.6881382428589635,-8.163536301324209,1.7764468523837529,19.304753359135375,11.559503812218821,18.0998009322864,-13.952068276548323]"
LADDER_3R3C,2,32,log_uniform_within_published_bounds,1331928312.0,"[-9.38265051564948,0.4424440189720116,3.033969902824772,17.61361889917463,24.137223737087265,13.632886630644071,-10.015254986488904]"
LADDER_4R4C,3,1,notebook_initialization,,"[-1.6094379124341003,-1.6094379124341003,-1.6094379124341003,-1.6094379124341003,16.11809565095832,16.11809565095832,16.11809565095832,16.11809565095832,-9.210340371976182]"
LADDER_4R4C,3,2,log_uniform_within_published_bounds,2902472938.0,"[4.51533360304192,-2.917223594287476,-5.105688757336381,2.7918460639610014,9.663037704704825,16.46646295913736,15.15809262916622,23.186448574658606,-4.051219088329347]"
LADDER_4R4C,3,3,log_uniform_within_published_bounds,248404683.0,"[2.3093148584651377,-7.723892124496379,-4.335012049142119,-0.47210027314179115,23.147301810560286,8.991199829723255,24.27724154215739,13.197948503503765,0.9076391707498352]"
LADDER_4R4C,3,4,log_uniform_within_published_bounds,1345544848.0,"[-5.726028043524646,-2.96742307741518,-1.2221427051074354,3.3791469864336197,11.152834257953554,10.60956693439859,16.97788913109224,22.091609223791494,-10.173825483450893]"
LADDER_4R4C,3,5,log_uniform_within_published_bounds,1035370343.0,"[-8.291095825801477,-0.10304371571206872,-3.0046589451630377,-1.4470745065860857,8.846863582548774,13.802630434220879,11.89484918778402,11.161212087851775,-2.4672181158239006]"
LADDER_4R4C,3,6,log_uniform_within_published_bounds,1600907607.0,"[-0.19223037654497332,1.712760901005483,-2.59337300815048,-7.172444608850707,19.23141232703569,14.240211548321566,14.112707527280548,17.464615889426288,-18.569980370147395]"
LADDER_4R4C,3,7,log_uniform_within_published_bounds,456574635.0,"[-5.336588786422098,-7.587714783341015,0.10339125095805457,-6.332777510968194,20.98302076329147,17.355704263480654,19.14070333025355,21.202893519443858,-16.000911205431724]"
LADDER_4R4C,3,8,log_uniform_within_published_bounds,1516700914.0,"[1.1245159286346968,-4.263555898215891,-3.978113658143106,-1.6517243029987032,10.939130410830955,18.645914838154297,15.355787737361315,10.333546379805023,-8.60882962954755]"
LADDER_4R4C,3,9,log_uniform_within_published_bounds,3388512260.0,"[-1.0319295792022096,-2.1618599923752955,-4.086441032377675,-4.6714116302728215,24.725310715916432,11.489899777692148,19.651586310810153,14.417597276710156,-5.6373563050022995]"
LADDER_4R4C,3,10,log_uniform_within_published_bounds,3766898977.0,"[-0.3335827348089264,-0.0946564883436114,3.0581873639431905,4.962633958876381,9.550989983678166,15.763016424741853,11.371587296312377,23.92709016793626,-1.087965530963082]"
LADDER_4R4C,3,11,log_uniform_within_published_bounds,2425392969.0,"[-7.316394532592159,2.0823033179975727,-0.20257444368673383,-6.414957868356343,14.26220967629004,16.803713321558384,12.934488538915556,11.776205326765115,-4.641800358970835]"
LADDER_4R4C,3,12,log_uniform_within_published_bounds,3152362203.0,"[-9.899068887018839,-4.648777055766914,-5.455315130965236,1.2373044787515735,12.565108423090315,17.424848790201317,14.29565701170334,9.878024468498847,-8.047282168973167]"
LADDER_4R4C,3,13,log_uniform_within_published_bounds,3227618958.0,"[2.053731218518669,2.653922901515765,-5.352238463383397,-4.961808272041499,16.890026972874267,12.074617212612907,8.229809815865124,10.773064265437696,-16.59204296315723]"
LADDER_4R4C,3,14,log_uniform_within_published_bounds,1566080276.0,"[4.890423946579535,-0.21961568279009036,-8.413792409546366,3.6074407610252397,21.783833124022895,18.798955569368708,8.40853934666355,9.896281043894,-15.030217021562741]"
LADDER_4R4C,3,15,log_uniform_within_published_bounds,3052887756.0,"[1.4842390424022422,-1.4991654364756712,-7.453800659697782,4.713398462364648,15.64972901440122,17.474023254697105,9.590443728644862,13.084418092307745,0.8129433308501923]"
LADDER_4R4C,3,16,log_uniform_within_published_bounds,592199791.0,"[-4.474495103155593,-1.226731682691474,-3.526425931878517,-5.380816868912936,10.803928118606782,21.493947017828347,11.647959908206495,20.890835613144237,-7.079805076863014]"
LADDER_4R4C,3,17,log_uniform_within_published_bounds,3922225680.0,"[-1.9657375214444688,-7.834773612064506,-4.0333344539384965,-3.959551511445625,17.191447367055673,15.919548630643582,13.52330530340437,21.480153141063827,-2.8254744946251087]"
LADDER_4R4C,3,18,log_uniform_within_published_bounds,3415795007.0,"[-4.908168582950336,-7.072982972944364,-6.931077202028041,2.6966448170655823,16.66704597348727,18.417066850537452,12.284671241582757,19.45525758468012,-5.893504972969556]"
LADDER_4R4C,3,19,log_uniform_within_published_bounds,403790389.0,"[-9.335166466344317,2.0686051043866485,-1.4050766695646644,-6.215578538853364,18.556057181131276,21.338145201107675,17.719084174994595,20.900456574288793,-18.64860214410039]"
LADDER_4R4C,3,20,log_uniform_within_published_bounds,2307622769.0,"[-8.6871782023825,1.3760565962069773,-6.304600712656983,3.562136675939053,16.593084630976197,21.741920182128695,10.07522129341497,14.541132306791145,-17.40037297710561]"
LADDER_4R4C,3,21,log_uniform_within_published_bounds,2844016480.0,"[-0.19585983629791848,0.32842694094682123,2.925224887176281,-7.470622814321173,20.926948734155733,11.359494763266005,16.678408092663645,20.715784845064828,-9.26451952748845]"
LADDER_4R4C,3,22,log_uniform_within_published_bounds,758529255.0,"[-5.521069787913792,-7.1829501252284,-6.932495361355178,-7.7111629757036315,11.875786272580307,10.82595657884931,12.188811338216961,9.295974096071541,-16.859886132134296]"
LADDER_4R4C,3,23,log_uniform_within_published_bounds,2885666250.0,"[-9.351597855498872,-9.36950987825387,-6.500404775757346,-9.105252670016997,15.967815359118585,19.899611410705337,10.637971117009261,11.136647311108804,-17.849982679400163]"
LADDER_4R4C,3,24,log_uniform_within_published_bounds,2912820163.0,"[-4.0634809305657145,3.381836736992172,2.09393360142319,-0.5471014485847832,16.030950017342207,9.253950163003687,23.81982378930654,9.106430810628208,1.2400960489431476]"
LADDER_4R4C,3,25,log_uniform_within_published_bounds,3081860844.0,"[-8.934214933221211,1.489727831465613,-6.332438403493141,-1.0798076463721547,12.462572243677078,9.340655289366572,15.977697372042128,12.132574605088552,-0.43406135910400323]"
LADDER_4R4C,3,26,log_uniform_within_published_bounds,1916699600.0,"[1.8810789107652006,0.22681943350150036,-7.2191699576942545,-7.85188207108125,14.159601680976138,21.028879713318098,17.62616934208623,18.522194431059567,-15.87434689583332]"
LADDER_4R4C,3,27,log_uniform_within_published_bounds,7230475.0,"[3.824060464048479,-9.93397732534615,-6.981105766813862,0.2507516378969008,23.602976998425845,19.865905401181184,15.104104699462727,16.091398471512854,-3.632424368912652]"
LADDER_4R4C,3,28,log_uniform_within_published_bounds,1235227583.0,"[-9.552735537928433,0.5595725287431375,-2.4863865381190875,-7.240323724282467,13.044450954415954,8.730396977656241,12.597385284795633,10.585720666373799,-6.064338542599666]"
LADDER_4R4C,3,29,log_uniform_within_published_bounds,3202866902.0,"[-6.5266846180664935,1.5685440893550933,-6.6654232922096135,-0.493240102821094,20.9372698265773,10.217622311209805,24.475235660410135,23.92079053863489,-16.141789132346883]"
LADDER_4R4C,3,30,log_uniform_within_published_bounds,3483648265.0,"[-6.014416981084416,-9.553633598913848,-4.6895597772335185,4.273310857927493,15.689121524839035,14.093702143312946,19.450201035486153,21.968384637513736,1.4324652923774792]"
LADDER_4R4C,3,31,log_uniform_within_published_bounds,456207945.0,"[-2.1805260276731007,-1.3404112224477593,-7.128130478041671,-1.176336403104127,21.54860179695862,23.169379842872708,22.854452095532313,16.41494031502421,-9.767443960819882]"
LADDER_4R4C,3,32,log_uniform_within_published_bounds,1594763028.0,"[2.2184775242546753,-1.3040080181953524,-5.559716356970979,4.007098637514728,20.047771792624285,15.6600607322092,9.812824970086638,12.283537172790773,-18.8313223330662]"
LADDER_5R5C,4,1,notebook_initialization,,"[-1.6094379124341003,-1.6094379124341003,-1.6094379124341003,-1.6094379124341003,-1.6094379124341003,16.11809565095832,16.11809565095832,16.11809565095832,16.11809565095832,16.11809565095832,-9.210340371976182]"
LADDER_5R5C,4,2,log_uniform_within_published_bounds,1683616241.0,"[0.7232786136719671,-8.286692576603127,1.1741617625031218,1.7494120883408364,-5.544867225131613,12.142283944436347,15.992034165559218,15.285870449100976,10.731676055615797,20.446262619549717,-1.9033220603370928]"
LADDER_5R5C,4,3,log_uniform_within_published_bounds,3743467169.0,"[2.98250516768765,-4.44931823789172,-3.9195416826817615,-7.357473364618504,4.855763641808949,13.400679943722558,21.411402519333556,9.88467517797455,13.363182185368352,16.63007076581794,-4.093573427276288]"
LADDER_5R5C,4,4,log_uniform_within_published_bounds,2033295082.0,"[-3.69628476754462,4.541512963717269,-0.20683631198803631,-8.65541020143217,2.906151944890503,22.83536684189158,22.725404796595093,14.25843102925891,17.524220887113913,23.941716289791934,-18.339595021008193]"
LADDER_5R5C,4,5,log_uniform_within_published_bounds,1336727220.0,"[-4.3411782294437655,2.940196268399877,0.08158701398920698,-8.318724963780475,2.6132366853229225,8.571863290173253,14.484118235841079,15.848241763398246,11.56049956420765,13.002529207056202,-4.549877212004024]"
LADDER_5R5C,4,6,log_uniform_within_published_bounds,2004478512.0,"[-9.983219039483032,0.6403068086521362,-9.914526953688732,-6.025825131450719,-2.7760504086734965,19.776338458621634,8.936755253468789,19.964034251776216,21.160290757068488,24.478633570043662,-6.921819200255644]"
LADDER_5R5C,4,7,log_uniform_within_published_bounds,2869380895.0,"[4.856352761422052,0.04668551264583165,3.757111721604179,-6.445134901322913,-9.617339242419296,18.444295238833362,17.199861509627716,14.079109011156262,9.786390065286586,12.773879595697057,-16.49156713476535]"
LADDER_5R5C,4,8,log_uniform_within_published_bounds,190792676.0,"[-9.45357714877947,0.8530681618728639,-2.322309701963724,-9.20756038768074,-5.998524498244382,8.657514951962694,13.801336188428603,19.431955674282086,16.599293377425973,18.64597668828759,-15.043896260072959]"
LADDER_5R5C,4,9,log_uniform_within_published_bounds,3127171412.0,"[2.592447599688853,-5.8738596502866285,2.343567982356472,-9.386068946209724,-7.370303266103715,19.062778772671155,13.29652856124571,16.69868578008129,19.684473073300776,14.391382837422963,-18.62400796738153]"
LADDER_5R5C,4,10,log_uniform_within_published_bounds,2368583879.0,"[-5.036092574757487,4.4271437220559715,-3.331419734721658,-1.740353793111792,-2.5194570198750075,12.694542666192934,8.995863953532005,14.94443684303807,10.22418217814648,21.1006557745759,-0.7016687004520605]"
LADDER_5R5C,4,11,log_uniform_within_published_bounds,1171882352.0,"[2.308690105857435,-1.276371302109057,-0.10892313032653078,-7.981223158140099,-5.006781942693222,22.41044772897194,24.972059975878768,19.785345703771767,12.750916681594315,23.724654379933263,-7.019230962129948]"
LADDER_5R5C,4,12,log_uniform_within_published_bounds,107725599.0,"[-8.04089775188447,-2.8750486055198206,2.9662181887137944,-0.9025976958032409,4.1680741308374145,9.971965431352556,17.433384011980387,14.993202351821196,12.959220519624548,18.55824247627507,-4.1047467503773625]"
LADDER_5R5C,4,13,log_uniform_within_published_bounds,2614719970.0,"[1.1295174329319355,-3.1031411145918533,4.119087190454412,-9.078975433684246,-7.980218278841661,15.129215746567088,15.050391324611958,10.79147209318695,16.902194709621938,23.488161582434124,-17.05755684730254]"
LADDER_5R5C,4,14,log_uniform_within_published_bounds,2579234876.0,"[-1.020571872104302,-8.209623029406988,2.5293029365893673,-1.581602914909757,-9.152503317336576,14.776997328811348,13.47618859817847,10.377589141012113,16.447700985580806,13.451668754312045,-0.8155381462318942]"
LADDER_5R5C,4,15,log_uniform_within_published_bounds,668177627.0,"[-2.580037683086279,2.2332072962202556,-0.043685365589453795,-6.637769954589395,-6.768776450363298,21.768908866294275,20.38740724655166,15.87266115895904,24.87546498836427,11.265505439678067,-15.658753893279359]"
LADDER_5R5C,4,16,log_uniform_within_published_bounds,4228815236.0,"[-0.3495031826317927,2.7808802567226856,-0.7888983540438108,-7.288649163042331,3.2191177564117766,11.160013757891248,17.086660222264296,9.27138857049742,16.508837620375324,17.9710697135666,-6.483265612124816]"
LADDER_5R5C,4,17,log_uniform_within_published_bounds,3109070878.0,"[-2.636397073474254,2.522248383470343,1.8620671409230631,-1.6167049674272853,3.604215307213705,20.019183115873858,21.318647229118245,11.177152191792171,21.30056616489032,18.708207724809057,0.7321439429798104]"
